ano,percentual_nivel_5,percentual_nivel_8,percentual_nivel_1,tipo_localizacao,quantidade_alunos_inse,percentual_nivel_3,sigla_uf,sigla_uf_nome,inse,percentual_nivel_2,percentual_nivel_4,rede,area,percentual_nivel_6,percentual_nivel_7
2021,26.17,2.18,0.09,Total (Urbana e Rural),80675,6.4,SC,Santa Catarina,5.49,2.05,15.55,Municipal,Total (Capital e Interior),26.18,21.38
2021,26.25,2.16,0.09,Total (Urbana e Rural),78518,6.32,SC,Santa Catarina,5.49,2.03,15.52,Municipal,Interior,26.19,21.44
2021,25.91,2.26,0.09,Urbana,73841,6.34,SC,Santa Catarina,5.5,1.99,15.32,Municipal,Total (Capital e Interior),26.31,21.78
2021,25.97,2.25,0.09,Urbana,71775,6.24,SC,Santa Catarina,5.5,1.97,15.27,Municipal,Interior,26.33,21.88
2019,17.18,11.14,0.1,Total (Urbana e Rural),1228,3.72,RO,Rondônia,5.89,1.28,9.23,Privada,Capital,24.55,32.8
2019,21.84,4.14,0.1,Total (Urbana e Rural),4877,7.04,MG,Minas Gerais,5.58,3.11,13.59,Federal,Total (Capital e Interior),22.94,27.24
2019,25.65,1.72,0.1,Total (Urbana e Rural),90169,6.92,SC,Santa Catarina,5.47,2.55,15.59,Estadual,Interior,26.18,21.3
2019,25.53,1.72,0.1,Urbana,90082,7,SC,Santa Catarina,5.46,2.6,15.59,Estadual,Total (Capital e Interior),26.13,21.33
2019,24.57,2,0.1,Total (Urbana e Rural),2678,9.52,SC,Santa Catarina,5.37,2.55,19.66,Municipal,Capital,24.36,17.24
2019,25.83,0.9,0.1,Total (Urbana e Rural),1532,12,MT,Mato Grosso,5.26,5.11,20.23,Federal,Total (Capital e Interior),18.73,17.1
2021,19.82,7.84,0.1,Total (Urbana e Rural),2368,2.92,AM,Amazonas,5.83,0.68,10.43,Privada,Total (Capital e Interior),25.34,32.87
2021,16.23,9.17,0.1,Total (Urbana e Rural),853,5.5,AP,Amapá,5.81,2.21,10.1,Privada,Total (Capital e Interior),22.55,34.14
2021,23.38,3.76,0.1,Total (Urbana e Rural),2286,8.69,BA,Bahia,5.49,1.73,17.31,Privada,Total (Capital e Interior),22.85,22.18
2021,25.07,2.62,0.1,Total (Urbana e Rural),14317,6.48,PR,Paraná,5.5,2.25,15.76,Municipal,Capital,25.42,22.29
2021,25.07,2.62,0.1,Urbana,14317,6.48,PR,Paraná,5.5,2.25,15.76,Municipal,Capital,25.42,22.29
2021,29.19,1.27,0.1,Rural,6834,7.05,SC,Santa Catarina,5.38,2.65,18.18,Municipal,Total (Capital e Interior),24.69,16.89
2021,29.3,1.27,0.1,Rural,6743,7.12,SC,Santa Catarina,5.38,2.7,18.27,Municipal,Interior,24.63,16.61
2021,25.81,2.15,0.1,Total (Urbana e Rural),159362,6.09,SC,Santa Catarina,5.51,2,14.82,Total (Estadual e Municipal),Interior,26.75,22.28
2021,25.61,2.2,0.1,Urbana,148958,6.01,SC,Santa Catarina,5.52,1.94,14.63,Total (Estadual e Municipal),Interior,26.88,22.62
2021,25.73,2.19,0.1,Total (Urbana e Rural),160259,6.03,SC,Santa Catarina,5.51,1.98,14.72,"Total (Federal, Estadual e Municipal)",Interior,26.76,22.49
2021,25.52,2.24,0.1,Urbana,149819,5.96,SC,Santa Catarina,5.52,1.92,14.53,"Total (Federal, Estadual e Municipal)",Interior,26.91,22.81
2019,16.37,11.69,0.11,Urbana,1093,3.65,RO,Rondônia,5.93,1.19,8.3,Privada,Capital,24.16,34.53
2019,22.91,4.02,0.11,Total (Urbana e Rural),3865,7.3,SE,Sergipe,5.53,2.94,14.86,Privada,Total (Capital e Interior),23.86,24.01
2019,9.15,14.2,0.11,Total (Urbana e Rural),1094,1.02,MG,Minas Gerais,6.24,0.5,3.39,Privada,Capital,20.87,50.76
2019,9.15,14.2,0.11,Urbana,1094,1.02,MG,Minas Gerais,6.24,0.5,3.39,Privada,Capital,20.87,50.76
2019,21.16,4.44,0.11,Total (Urbana e Rural),1685,3.87,PR,Paraná,5.77,0.58,10.78,Federal,Interior,24.84,34.22
2019,21.09,4.51,0.11,Urbana,1666,3.61,PR,Paraná,5.78,0.51,10.78,Federal,Interior,24.9,34.49
2019,25.91,1.43,0.11,Urbana,114199,10.48,PR,Paraná,5.29,4.49,19.82,Municipal,Total (Capital e Interior),21.93,15.84
2019,26.11,1.24,0.11,Urbana,98049,11.05,PR,Paraná,5.25,4.85,20.62,Municipal,Interior,21.28,14.74
